#{"t_start": 1776778095.5306222, "env_id": "None"}
r,l,t,is_success
15.955389,600,4932.462442,False
58.8411,21,4933.487204,True
0.996215,48,4935.795496,False
23.753045,600,4964.843043,False
61.463998,29,4966.243567,True
57.307311,17,4967.074508,True
62.170792,29,4968.473178,True
2.160845,35,4970.169472,False
21.386006,600,4999.196108,False
20.394678,600,5035.147195,False
16.526998,600,5064.181166,False
25.840276,600,5093.072899,False
57.65324,17,5093.900588,True
29.090684,600,5129.225965,False
49.999124,1,5129.290465,True
63.316924,32,5130.846852,True
57.433586,22,5131.910373,True
59.605559,21,5132.916069,True
21.762541,600,5161.857393,False
59.148429,20,5162.827971,True
23.589795,600,5191.952011,False
18.533927,600,5227.965132,False
61.537985,25,5229.172961,True
62.895518,32,5230.70105,True
61.498513,30,5232.148234,True
57.751623,25,5233.364306,True
60.096983,32,5234.916102,True
59.038066,18,5235.793505,True
59.623075,26,5237.04485,True
23.329683,600,5265.829898,False
58.920413,21,5266.857739,True
58.01546,21,5267.877155,True
18.490273,600,5296.981975,False
58.92667,19,5297.90175,True
84.930773,515,5330.354091,True
63.682035,34,5331.998912,True
53.99829,8,5332.397676,True
60.287192,33,5334.016334,True
68.054818,87,5338.231258,True
63.435685,33,5339.814678,True
59.420765,26,5341.063735,True
60.99226,91,5345.420026,True
64.175469,79,5349.205588,True
66.027206,155,5356.660978,True
62.559973,27,5357.965502,True
61.593765,35,5359.65027,True
63.614349,33,5361.241305,True
59.104041,78,5365.028805,True
61.617077,127,5371.229567,True
60.720102,27,5372.529899,True
63.287239,84,5376.574775,True
58.778234,29,5377.987182,True
60.001051,32,5379.520316,True
57.867774,21,5380.538567,True
58.690145,27,5381.850583,True
61.079598,84,5385.879792,True
57.407149,69,5389.205749,True
59.286065,25,5390.409813,True
58.653964,27,5391.722306,True
59.535084,89,5396.004466,True
55.918417,13,5396.639887,True
58.724307,81,5400.52222,True
57.918507,20,5401.490211,True
63.669353,32,5403.025121,True
4.66936,89,5407.290879,False
60.235588,33,5408.895847,True
67.721319,60,5411.817867,True
62.787965,94,5416.31453,True
62.817133,82,5420.229361,True
62.609759,126,5434.263003,True
58.782622,77,5437.972919,True
60.458637,22,5439.041197,True
60.823328,36,5440.789481,True
69.480878,119,5446.558756,True
62.667848,82,5450.49816,True
55.230383,35,5452.193201,True
60.583058,80,5456.035775,True
58.028885,22,5457.115238,True
54.63232,12,5457.734274,True
57.639704,66,5460.946174,True
61.995016,28,5462.299094,True
64.689866,132,5468.709659,True
56.297978,18,5469.587206,True
61.679804,26,5470.833689,True
58.871459,29,5472.229222,True
61.141669,23,5473.345369,True
53.558336,8,5473.738608,True
62.179775,24,5474.901372,True
60.120996,43,5477.004126,True
59.769322,70,5480.378062,True
64.239469,97,5485.062633,True
62.077817,81,5489.019478,True
62.226611,82,5492.955587,True
55.980613,14,5493.637311,True
58.731376,23,5494.753749,True
62.714685,29,5496.169174,True
56.556621,18,5497.061316,True
59.151058,22,5498.145661,True
3.200672,85,5502.285892,False
54.3686,58,5505.103643,True
64.579616,117,5510.793261,True
57.143918,65,5513.974927,True
53.225372,43,5516.077421,True
62.399048,85,5520.188866,True
57.195626,64,5523.263351,True
60.746271,30,5524.737333,True
61.80293,41,5526.726307,True
60.596106,27,5528.034728,True
62.92866,28,5529.376647,True
62.380937,92,5541.362892,True
57.063004,14,5542.040392,True
64.437841,82,5546.063269,True
57.698819,27,5547.377355,True
62.142963,29,5548.792241,True
60.12495,107,5553.965694,True
1.393767,32,5555.515282,False
59.863233,73,5559.012639,True
54.283304,41,5560.996206,True
60.069565,138,5567.642519,True
56.913621,68,5570.930387,True
62.314436,80,5574.784041,True
53.266399,10,5575.279987,True
64.012707,82,5579.262505,True
60.479934,78,5583.020326,True
62.017141,32,5584.585077,True
59.253912,21,5585.595484,True
59.293795,70,5588.946733,True
61.718687,83,5592.950577,True
58.160336,26,5594.217675,True
61.637011,82,5598.200941,True
62.599866,34,5599.847509,True
59.51898,24,5601.023785,True
66.377282,96,5605.687827,True
