#{"t_start": 1773982596.0599632, "env_id": "None"}
r,l,t
57.94172,16,4584.214425
58.791191,19,4587.514592
60.390999,23,4591.526088
61.129843,21,4595.163779
54.27467,11,4597.076726
59.864243,20,4600.548035
57.667686,17,4603.508601
60.734758,22,4607.323857
57.546211,16,4610.109174
60.780131,24,4614.288286
60.176969,21,4617.934266
57.54541,19,4621.224328
62.446779,26,4632.647324
55.13859,11,4634.581882
56.717377,18,4637.695932
62.326973,26,4642.215806
49.831942,42,4649.527862
63.7438,29,4654.612628
52.370331,50,4663.353762
58.747426,20,4666.845311
62.428999,49,4675.385627
53.315385,55,4684.973461
53.836626,10,4686.725252
59.064771,21,4690.395704
63.277912,28,4695.317173
57.838563,17,4698.302617
61.088686,23,4702.34056
62.247944,24,4706.547684
61.763303,24,4710.736896
58.046128,19,4714.090227
55.156375,13,4716.370537
55.142288,54,4725.786818
59.604002,20,4729.29696
54.508883,12,4731.404889
58.249301,20,4734.885533
60.452664,24,4739.073064
57.639368,57,4749.027884
59.662599,21,4752.71376
54.7651,9,4754.316273
57.114802,18,4757.460895
62.511405,27,4762.206592
52.472628,48,4770.628793
55.532065,13,4772.930422
57.916881,18,4776.103666
64.512769,36,4782.350681
56.609777,17,4785.329923
61.127184,21,4789.001042
53.199977,55,4798.604353
63.843255,30,4803.875572
61.675124,25,4808.282793
59.386595,22,4812.159133
61.665127,23,4816.175201
60.817703,23,4820.205702
52.069223,52,4829.294281
60.489384,24,4833.50917
55.372314,11,4835.454142
61.70195,25,4839.853129
60.879254,24,4844.020708
63.99321,46,4852.005717
58.20337,33,4857.74434
60.509483,28,4862.603767
63.646719,28,4867.476336
59.738666,42,4874.790451
60.587024,23,4878.84136
62.398575,25,4883.221908
62.89478,50,4891.921998
57.432681,15,4894.553267
59.684509,22,4898.404499
63.778291,28,4903.306167
57.218992,19,4906.608208
53.484858,8,4908.013149
60.430136,21,4911.672854
62.916552,28,4916.44723
56.88994,13,4918.723296
51.95733,20,4922.208146
54.182321,9,4923.800807
62.876609,27,4928.595938
56.604933,16,4931.409081
64.746308,68,4943.151925
58.56093,17,4946.107832
60.009923,21,4949.744351
55.021682,10,4951.49078
55.993823,15,4954.085422
59.778645,20,4957.554983
59.520246,20,4961.035213
59.306277,19,4964.327757
62.699813,28,4969.212282
56.791414,14,4971.650768
66.327838,36,4977.828694
60.222896,22,4981.465
52.999379,6,4982.524163
62.193022,27,4994.278868
60.772314,24,4998.465795
58.265614,20,5001.923319
57.774894,20,5005.410134
53.424941,56,5015.10994
62.952246,27,5019.792436
60.693584,25,5024.153183
59.967904,19,5027.458167
61.532267,22,5031.265385
56.394378,17,5034.214761
59.581739,21,5037.883764
57.359519,16,5040.684542
60.022597,20,5044.165688
53.690764,42,5051.424432
67.217181,38,5057.952721
50.62192,45,5065.733371
55.544272,65,5076.982307
55.521017,12,5079.087209
56.940397,15,5081.69101
60.285299,21,5085.365092
62.795256,26,5089.869855
58.738055,18,5093.001832
59.33833,21,5096.64583
58.421202,20,5100.132377
54.309297,58,5110.178597
58.055866,16,5112.971586
56.229254,45,5120.880357
53.935693,54,5130.23174
63.095757,27,5134.92957
53.851761,9,5136.509965
59.96692,34,5142.380183
59.67846,21,5146.053765
55.47185,12,5148.140181
60.027407,21,5151.847693
63.675958,28,5156.759386
63.299,70,5168.959296
62.460677,27,5173.685152
53.66703,8,5175.109811
61.939294,89,5190.631082
62.52309,26,5195.193896
57.159883,15,5197.841135
58.495376,18,5201.006708
55.178762,13,5203.3032
54.709447,41,5210.468407
61.127035,24,5214.697407
60.134111,22,5218.578268
61.537106,53,5227.892826
53.02474,6,5228.965982
61.051942,22,5232.823651
58.409698,18,5235.978807
55.301589,14,5238.413424
53.051194,6,5239.489584
59.44827,19,5242.820943
63.399983,35,5248.886874
54.885691,57,5258.76573
53.494331,7,5260.008736
56.760915,17,5262.988615
62.415308,27,5267.445695
54.780966,13,5269.721901
